"nums","errors"
50,0.261128971699676
51,0.255923251819231
52,0.25701616683379
53,0.259848952288215
54,0.264335640203937
55,0.259297865256018
56,0.25320942801966
57,0.245142240530414
58,0.242737052906435
59,0.242335448441724
60,0.236370137642628
61,0.230519530060921
62,0.222511305639083
63,0.218159490566698
64,0.215667230370813
65,0.214588034114882
66,0.214358285694888
67,0.215468588388747
68,0.21563955698204
69,0.21424621985776
70,0.210944651208076
71,0.212022550831547
72,0.207825715767652
73,0.16720183743833
74,0.162790727065657
75,0.159641905410883
76,0.204043210169024
77,0.204853677715794
78,0.202605349098439
79,0.159905916379647
80,0.159855165721561
81,0.157595795566423
82,0.156557649535694
83,0.158073838509332
84,0.159067701546198
85,0.157929134466969
86,0.157536958998843
87,0.155890788277914
88,0.155760381888803
89,0.144112658657485
90,0.144016356172846
91,0.140164389686882
92,0.14078741437392
93,0.143343487172223
94,0.140946411266477
95,0.14038621399956
96,0.14292769261614
97,0.146993101036856
98,0.145973486784122
99,0.143746863566877
100,0.144296444420163
101,0.145053377434419
102,0.144407640738943
103,0.138930675497883
104,0.127795404169969
105,0.126181184645188
106,0.124860411874982
107,0.128475685598109
108,0.128956372767094
109,0.127322698290388
110,0.129435578543257
111,0.129891445357833
112,0.12992526203022
113,0.129462687764156
114,0.130371259002972
115,0.130174101448302
116,0.129897670828398
117,0.129563878870082
118,0.129165149974813
119,0.130029830719135
120,0.130413683443113
121,0.120981933769584
122,0.120488799692821
123,0.120602112284552
124,0.12022369788749
125,0.120434450444271
126,0.12130036085713
127,0.121936792568694
128,0.122607519145135
129,0.121146985511148
130,0.120901029931188
131,0.123003209348621
132,0.122939915486405
133,0.118363887595005
134,0.116466049822139
135,0.117000295034328
136,0.116220770769636
137,0.116214015019595
138,0.111105758995997
139,0.11124640948949
140,0.117159939427585
