"nums","errors"
50,0.236235561706053
51,0.235719614934257
52,0.236453417622926
53,0.232888543593724
54,0.232674356417219
55,0.233681966212012
56,0.236090517481765
57,0.232439507574997
58,0.229449421079564
59,0.219961621337787
60,0.213316083726487
61,0.197832670997055
62,0.194047795906356
63,0.193485080618324
64,0.189643328241566
65,0.190164540501968
66,0.189436092639106
67,0.192501257072542
68,0.189342449564725
69,0.172673765808076
70,0.186916021973819
71,0.184296445854358
72,0.169843340754604
73,0.167840704659759
74,0.167454373025555
75,0.168066090523285
76,0.168861091530858
77,0.168581930720455
78,0.169728229834052
79,0.170386181584416
80,0.158349361414456
81,0.158804512568072
82,0.158914529828864
83,0.157276740804776
84,0.155585507042003
85,0.155029077766357
86,0.155003871106003
87,0.149894778754532
88,0.150208794225737
89,0.146890289075853
90,0.145000523367224
91,0.145337294297983
92,0.143368589876399
93,0.143101716443018
94,0.143334389464164
95,0.141747643940807
96,0.13962778594487
97,0.138747918547077
98,0.138131846116704
99,0.134595188064724
100,0.134356238673234
101,0.135654107769437
102,0.132301451467267
103,0.132602488293821
104,0.13276993490891
105,0.132782611217616
106,0.131229289149726
107,0.130758620172899
108,0.129884403920388
109,0.129574994884377
110,0.128941425112416
111,0.129005381292491
112,0.131097271212939
113,0.131130171921355
114,0.126566842554385
115,0.123214069371245
116,0.123084181668116
117,0.123182340836687
118,0.122548322670061
119,0.125188208215187
120,0.123986270553185
121,0.123880121863899
122,0.123762206265656
123,0.123219778969217
124,0.123792526462692
125,0.123759819293695
126,0.123897241962485
127,0.12402913687871
128,0.123687141768091
129,0.118379975805581
130,0.117465407653136
131,0.117211335724909
132,0.117584575363581
133,0.116019743863615
134,0.116078810511595
135,0.115070501515288
136,0.114800884494552
137,0.115702287873877
138,0.113691485667728
139,0.113670447572593
140,0.112253582770973
141,0.112297552516696
142,0.110228879599233
143,0.108020162140039
144,0.107992645388483
145,0.107799053816323
146,0.107850646606975
147,0.105381235255701
148,0.104459477777264
149,0.10446490313341
150,0.104215859294062
151,0.105465661917739
152,0.105484947177782
153,0.105324325009417
154,0.104170895504443
155,0.103652033839196
156,0.100407465863742
157,0.100499233370395
158,0.0994911959683264
159,0.0997451616118219
160,0.099132481234934
161,0.0976513455794105
162,0.097750456930585
163,0.0977379003811037
164,0.0977844992797754
165,0.097582133438581
166,0.0972321908949663
167,0.0961163558498589
168,0.0955487304030228
169,0.094965744092001
170,0.0933421788509659
171,0.0934775378947008
172,0.0914826757958415
173,0.091273727314522
174,0.0905279970578171
175,0.0906736822320238
176,0.0910635519961251
177,0.0910731076454154
178,0.0896549738947974
179,0.0894901700118645
180,0.0895676182492545
181,0.0898485724643362
182,0.089555461483652
183,0.0895854958626811
184,0.0898747472405097
185,0.0899254689469069
186,0.0900444790501244
187,0.0901656755529319
188,0.0901069646375275
189,0.0904593648231288
190,0.0908714342081949
191,0.0907360486851128
192,0.0900662981695321
193,0.0881536244956586
194,0.0894590876528785
195,0.0900971638296995
196,0.0894955429926362
197,0.0895456180733164
198,0.0886611985317396
199,0.0887530785924896
200,0.0884690761864811
201,0.0882333075847169
202,0.0873370552438093
203,0.0868505187517104
204,0.0869803413592559
205,0.0874915027268026
206,0.0867780808948888
207,0.0869258430515387
208,0.0867889813822297
209,0.085838451402336
210,0.0855369222479316
211,0.0855212455646876
212,0.0854528034651137
213,0.0853464311982009
214,0.0853374953781296
215,0.0856309238148002
216,0.0856955574406363
217,0.0853837961440205
218,0.085449179374285
219,0.0854756868648883
220,0.0855176114983063
221,0.0872705026939066
222,0.0865900596787534
223,0.0871964829373875
224,0.087532577968952
225,0.087586505613381
226,0.0872056347864343
227,0.086147627325119
228,0.0855495168797554
229,0.0843361161196031
230,0.0842296572274482
