"nums","errors"
50,0.261128971699676
51,0.258127197942587
52,0.258364681433909
53,0.25792762808199
54,0.201532121153992
55,0.201194325755177
56,0.197487373390139
57,0.196329822758485
58,0.188716385810435
59,0.192644236856915
60,0.191495959126961
61,0.189682313930328
62,0.189926551901788
63,0.190213216490976
64,0.19105953891914
65,0.191264606195739
66,0.191107574741982
67,0.191383338190316
68,0.183597164639713
69,0.181127269779518
70,0.178740298604365
71,0.17670018693926
72,0.185433581531955
73,0.187335556826979
74,0.185330853333784
75,0.185883730257446
76,0.185044256902721
77,0.188986157955156
78,0.187278647798078
79,0.181740553878648
80,0.179731842072542
81,0.178831634767893
82,0.179529870569903
83,0.179669019772698
84,0.178961791842408
85,0.179964811885197
86,0.177522948152474
87,0.177726514946867
88,0.176659139617253
89,0.174317224619948
90,0.174602423870323
91,0.174290008721512
92,0.174334977861473
93,0.172743355957417
94,0.170846766873707
95,0.170149583240773
96,0.169930844783936
97,0.171533669082032
98,0.167993328654502
99,0.16796570287427
100,0.166346413193623
101,0.166335032504279
102,0.165773399313845
103,0.166326024355481
104,0.166198175673961
105,0.166022158223133
106,0.165932506120547
107,0.166347454548012
108,0.167772072959524
109,0.162182146206122
110,0.158011101103487
111,0.159324099376605
112,0.156045598165501
113,0.156040055829037
114,0.156297840464893
115,0.156197028893938
116,0.151549794806643
117,0.161395562154248
118,0.158835677273991
119,0.149204036005242
120,0.149315846550345
121,0.149927442863006
122,0.148414196480584
123,0.148387736600007
124,0.14767772305465
125,0.147556359832635
126,0.147136088028332
127,0.156984013316404
128,0.156897785296061
129,0.155087394341312
130,0.151924269752978
131,0.138402899531048
132,0.137985973754954
133,0.137788313521241
134,0.138137318592094
135,0.137505817616788
136,0.135314356218858
137,0.128788743770916
138,0.128818459357595
139,0.124891267664823
140,0.124082893215609
